brand,price,rating,RAM_GB,ROM_GB,Expandable_GB,Rear_MP,Battery_mAh
VIVO,39999,4.5,12.0,512.0,0.0,50.0,5500.0
REDMI,10659,4.2,6.0,128.0,1024.0,50.0,5160.0
VIVO,35999,4.5,8.0,256.0,0.0,50.0,5500.0
IQOO,22749,4.4,8.0,128.0,0.0,50.0,7300.0
OPPO,23999,4.4,12.0,256.0,0.0,50.0,6000.0
OPPO,23990,4.4,8.0,256.0,0.0,50.0,6500.0
LAVA,969,4.0,,,0.0,0.0,1000.0
HOTLINE,499,3.3,,,0.0,3.0,1000.0
REDMI,10898,4.2,6.0,128.0,1024.0,50.0,5000.0
JIO,765,3.8,,,0.0,3.0,1000.0
OPPO,11990,4.2,4.0,64.0,2048.0,8.0,5100.0
TECNO,7499,4.2,4.0,64.0,1024.0,13.0,5000.0
IQOO,24953,4.4,8.0,256.0,0.0,50.0,7300.0
APPLE,64900,4.6,,,0.0,12.0,15.0
OPPO,19800,4.4,8.0,128.0,0.0,50.0,6500.0
SAMSUNG,13310,4.4,4.0,128.0,0.0,50.0,5000.0
OPPO,14180,4.2,6.0,128.0,0.0,50.0,5100.0
VIVO,14999,4.4,4.0,128.0,0.0,50.0,6500.0
SAMSUNG,31931,4.3,12.0,256.0,1024.0,50.0,5000.0
REDMI,10197,4.2,4.0,128.0,1024.0,50.0,5160.0
REDMI,10488,4.2,4.0,128.0,1024.0,50.0,5160.0
SAMSUNG,17598,4.3,8.0,128.0,0.0,50.0,6000.0
OPPO,12499,4.3,4.0,128.0,0.0,32.0,6000.0
SNEXIAN,585,3.3,,,0.0,3.0,800.0
MOTOROLA,5999,4.2,4.0,64.0,1024.0,48.0,5000.0
REALME,27999,4.4,12.0,256.0,0.0,50.0,7000.0
REDMI,8999,4.1,4.0,128.0,1024.0,8.0,5000.0
GOOGLE,124999,4.6,16.0,256.0,0.0,48.0,5200.0
AMOZKART,1183,3.8,,,0.0,3.0,800.0
REALME,13490,4.3,8.0,128.0,0.0,50.0,6000.0
SAMSUNG,109990,4.6,12.0,256.0,0.0,200.0,5000.0
VIVO,12999,4.2,6.0,128.0,2048.0,13.0,5500.0
OPPO,22399,4.4,8.0,128.0,0.0,50.0,6000.0
INFINIX,24999,4.4,8.0,256.0,0.0,108.0,5500.0
REDMI,15346,4.2,8.0,128.0,0.0,50.0,5110.0
REALME,11288,4.2,4.0,128.0,2048.0,32.0,6000.0
NOKIA,3299,3.9,,,0.0,8.0,1450.0
MOTOROLA,1380,4.0,,,0.0,,6.0
REALME,25999,4.4,8.0,256.0,0.0,50.0,7000.0
MOTOROLA,20999,4.4,8.0,256.0,0.0,50.0,4310.0
SAMSUNG,105993,4.2,12.0,256.0,0.0,50.0,4400.0
VIVO,16499,4.4,6.0,128.0,0.0,50.0,6500.0
SAMSUNG,17690,4.3,8.0,128.0,0.0,50.0,6000.0
ITEL,1124,4.1,,,0.0,,12.0
REDMI,6680,4.1,4.0,64.0,1024.0,8.0,5000.0
TECNO,6699,4.4,3.0,64.0,1024.0,13.0,5000.0
LAVA,1102,4.2,,,0.0,3.0,1750.0
SAMSUNG,118999,4.6,12.0,256.0,0.0,200.0,5000.0
AI+,9999,3.8,8.0,128.0,1024.0,50.0,5000.0
REDMI,12999,4.2,8.0,128.0,0.0,13.0,5030.0
KECHAODA,974,4.1,,32.0,0.0,3.0,850.0
INFINIX,25999,4.2,12.0,256.0,0.0,108.0,5000.0
REDMI,16496,4.3,6.0,128.0,0.0,50.0,5110.0
TECNO,20999,4.2,8.0,128.0,0.0,50.0,5160.0
HOTLINE,799,3.9,,,0.0,3.0,3000.0
OPPO,27999,4.5,8.0,128.0,0.0,50.0,7000.0
SAMSUNG,114999,4.2,12.0,512.0,0.0,50.0,4400.0
REDMI,9989,4.2,4.0,64.0,1024.0,50.0,5160.0
OPPO,24979,4.4,8.0,256.0,0.0,64.0,5000.0
JMAX,990,3.7,,,0.0,3.0,2250.0
VIVO,38999,4.5,8.0,256.0,0.0,50.0,6500.0
MOTOROLA,1178,4.0,,,0.0,0.0,800.0
SAMSUNG,14499,4.2,4.0,128.0,2048.0,50.0,5000.0
SAMSUNG,27937,4.3,8.0,128.0,0.0,50.0,5000.0
VIVO,22999,4.5,8.0,128.0,0.0,50.0,5500.0
OPPO,24999,4.3,8.0,128.0,0.0,50.0,7000.0
KECHAODA,998,4.0,,,0.0,3.0,800.0
REDMI,10999,4.2,6.0,128.0,1024.0,50.0,5160.0
VIVO,24999,4.4,8.0,128.0,0.0,50.0,5600.0
POCO,17999,4.3,8.0,128.0,0.0,50.0,5500.0
OPPO,11499,4.2,4.0,128.0,2048.0,8.0,5100.0
OPPO,11499,4.3,4.0,64.0,0.0,32.0,6000.0
